"Distance","#","","PID","Status","Address","Zip","County/City","Prop Type","Type","# Bedrooms","Fin SF","Total Baths","Year Built","List Price","Sales Price","Days On Market","Sales Date","New/Resale","Sold Terms","Owned By"
"1.3 mi","501","2107107","7880-73-5942","CLOSD","10641 Providence Green DR","23005","Hanover","Residential","Single Family Residence","3","2,412","2.1","2014","$375,000","$391,000","5","05/12/2021","Resale (occupied at least once)","Conventional","Individuals"
"1.5 mi","501","2026705","7880-83-6947","CLOSD","13700 Winston Trail CIR","23005","Hanover","Residential","Single Family Residence","3","2,652","2.1","2015","$375,000","$375,000","5","10/20/2020","Resale (occupied at least once)","Conventional","Individuals"
"2.2 mi","501","2018002","7789-81-5634","CLOSD","12079 Cheroy Woods CT","23005","Hanover","Residential","Single Family Residence","3","1,878","2.0","1991","$375,000","$370,000","4","07/23/2020","Resale (occupied at least once)","Cash","Individuals"
"1.4 mi","501","2012390","7880-82-4918","CLOSD","13500 Providence Run RD","23005","Hanover","Residential","Single Family Residence","4","2,892","2.1","2016","$375,000","$375,000","49","07/17/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.5 mi","501","1806712","7880-83-3825","CLOSD","13548 Providence Run RD","23005","Hanover","Residential","Single Family Residence","4","2,968","2.1","2015","$375,000","$374,000","24","05/21/2018","Resale (occupied at least once)","Conventional","Individuals"
"1.8 mi","501","1904020","7870-79-9483","CLOSD","11236 Ashland Park DR","23005","Hanover","Residential","Single Family Residence","3","1,822","2.0","2019","$375,035","$379,535","36","06/18/2019","New (never occupied)","Conventional","Corporate"
"1.8 mi","501","2036021","7870-36-3287","CLOSD","821 Chapman ST","23005","Hanover","Residential","Single Family Residence","3","1,466","2.0","2020","$375,090","$394,095","0","01/28/2022","New (never occupied)","Conventional","Corporate"
"1.6 mi","501","2118244","7880-93-2665","CLOSD","13650 Hewlett Trail DR","23005","Hanover","Residential","Single Family Residence","3","2,002","2.1","2018","$378,000","$378,000","3","08/27/2021","Resale (occupied at least once)","USDA","Individuals"
"1.4 mi","501","2009147","7880-73-8658","CLOSD","13809 Providence Grace LN","23005","Hanover","Residential","Single Family Residence","4","2,682","2.1","2015","$378,500","$378,000","83","07/20/2020","Resale (occupied at least once)","VA New","Individuals"
"2.5 mi","501","2202361","7769-94-4512","CLOSD","12231 Lees LN","23005","Hanover","Residential","Single Family Residence","3","2,830","2.1","1978","$379,000","$430,000","4","03/31/2022","Resale (occupied at least once)","Conventional","Individuals"
"0.3 mi","501","2105409","7870-90-7299","CLOSD","404 Short ST","23005","Hanover","Residential","Single Family Residence","4","2,800","3.1","1933","$379,000","$365,000","100","08/25/2021","Resale (occupied at least once)","Conventional","Other"
"2.6 mi","501","1926884","7769-93-5298","CLOSD","12011 Fox Mill Run LN","23005","Hanover","Residential","Single Family Residence","4","2,476","2.1","1995","$379,000","$370,000","3","10/22/2019","Resale (occupied at least once)","VA New","Individuals"
"1.4 mi","501","1822755","7880-83-0489","CLOSD","10708 Providence Park DR","23005","Hanover","Residential","Single Family Residence","3","2,830","2.1","2016","$379,450","$379,000","13","08/14/2018","Resale (occupied at least once)","Conventional","Individuals"
"1.5 mi","501","1730881","7880-83-3669","CLOSD","10216 Toliver Trail CIR","23005","Hanover","Residential","Single Family Residence","4","3,252","2.1","2015","$379,500","$374,500","58","11/28/2017","Resale (occupied at least once)","FHA New","Individuals"
"1.3 mi","501","1831234","7870-42-4673","CLOSD","411 Henry Clay Road","23005","Hanover","Residential","Single Family Residence","3","2,233","2.1","1947","$379,900","$379,900","3","10/31/2018","Resale (occupied at least once)","Conventional","Individuals"
"1.8 mi","501","1821598","7870-79-8435","CLOSD","11240 Ashland Park DR","23005","Hanover","Residential","Single Family Residence","3","2,145","2.1","2018","$379,900","$365,000","314","05/30/2019","New (never occupied)","VA New","Corporate"
"3.6 mi","501","2133822","7778-62-7264","CLOSD","11202 Cedarlea PKY","23059","Hanover","Residential","Single Family Residence","4","2,354","3.0","2002","$379,950","$408,000","1","01/05/2022","Resale (occupied at least once)","Cash","Individuals"
"2.5 mi","501","1906911","7799-36-9415","CLOSD","12314 N Oaks DR","23005","Hanover","Residential","Single Family Residence","4","2,624","3.1","1994","$379,950","$379,950","12","04/19/2019","Resale (occupied at least once)","Conventional","Individuals"
