FY,County_Name,avg_mort_rate,80pctami,affordable_monthly_pymnt_80pctami,max_home_price_80pctAMI,total_sales_80pctami,total_sales_all,starter_homes_pct
2014,Bedford city,0.0417,38750,904,"192,294",33,37,0.89
2014,Bedford County,0.0417,38750,904,"192,294",450,962,0.47
2014,Bland County,0.0417,33500,782,"166,241",19,28,0.68
2014,Botetourt County,0.0417,40250,939,"199,738",180,369,0.49
2014,Bristol city,0.0417,32400,756,"160,783",22,29,0.76
2014,Brunswick County,0.0417,33500,782,"166,241",12,17,0.71
2014,Buchanan County,0.0417,33500,782,"166,241",14,18,0.78
2014,Buckingham County,0.0417,33500,782,"166,241",75,89,0.84
2014,Buena Vista city,0.0417,34650,809,"171,948",56,59,0.95
2014,Campbell County,0.0417,38750,904,"192,294",339,480,0.71
2014,Caroline County,0.0417,46650,"1,089","231,497",355,429,0.83
2014,Carroll County,0.0417,33500,782,"166,241",171,208,0.82
2014,Charles City County,0.0417,46650,"1,089","231,497",18,29,0.62
2014,Charlotte County,0.0417,33750,788,"167,482",42,55,0.76
2014,Charlottesville city,0.0417,51150,"1,194","253,828",247,515,0.48
2014,Chesapeake city,0.0417,45200,"1,055","224,302","1,528","3,368",0.45
2014,Chesterfield County,0.0417,46650,"1,089","231,497","2,575","4,602",0.56
2014,Clarke County,0.0417,54800,"1,279","271,941",80,173,0.46
2014,Clifton Forge city,0.0417,34800,812,"172,692",0,0,0.00
2014,Colonial Heights city,0.0417,46650,"1,089","231,497",169,183,0.92
2014,Covington city,0.0417,34800,812,"172,692",15,17,0.88
2014,Craig County,0.0417,40250,939,"199,738",29,36,0.81
2014,Culpeper County,0.0417,51150,"1,194","253,828",316,584,0.54
2014,Cumberland County,0.0417,46650,"1,089","231,497",78,90,0.87
2014,Danville city,0.0417,33500,782,"166,241",355,427,0.83
2014,Dickenson County,0.0417,33500,782,"166,241",5,5,1.00
2014,Dinwiddie County,0.0417,46650,"1,089","231,497",174,213,0.82
2014,Emporia city,0.0417,33500,782,"166,241",2,2,1.00
2014,Essex County,0.0417,35200,821,"174,677",62,104,0.60
2014,Fairfax city,0.0417,54800,"1,279","271,941",34,334,0.10
2014,Fairfax County,0.0417,54800,"1,279","271,941","1,635","13,587",0.12
2014,Falls Church city,0.0417,54800,"1,279","271,941",9,185,0.05
2014,Fauquier County,0.0417,54800,"1,279","271,941",350,944,0.37
2014,Floyd County,0.0417,33800,789,"167,730",68,99,0.69
2014,Fluvanna County,0.0417,51150,"1,194","253,828",293,408,0.72
2014,Franklin city,0.0417,35650,832,"176,911",58,73,0.79
2014,Franklin County,0.0417,36700,856,"182,121",289,588,0.49
2014,Frederick County,0.0417,43300,"1,010","214,873",576,"1,195",0.48
2014,Fredericksburg city,0.0417,54800,"1,279","271,941",111,246,0.45
2014,Galax city,0.0417,33500,782,"166,241",48,54,0.89
2014,Giles County,0.0417,33950,792,"168,474",89,113,0.79
2014,Gloucester County,0.0417,45200,"1,055","224,302",260,481,0.54
2014,Goochland County,0.0417,46650,"1,089","231,497",96,279,0.34
2014,Grayson County,0.0417,33500,782,"166,241",65,84,0.77
2014,Greene County,0.0417,51150,"1,194","253,828",152,247,0.62
2014,Greensville County,0.0417,33500,782,"166,241",6,6,1.00
2014,Halifax County,0.0417,33500,782,"166,241",121,146,0.83
2014,Hampton city,0.0417,45200,"1,055","224,302","1,119","1,388",0.81
2014,Hanover County,0.0417,46650,"1,089","231,497",645,"1,433",0.45
2014,Harrisonburg city,0.0417,38000,887,"188,572",209,348,0.60
2014,Henrico County,0.0417,46650,"1,089","231,497","2,182","3,990",0.55
2014,Henry County,0.0417,33500,782,"166,241",267,301,0.89
2014,Highland County,0.0417,35600,831,"176,662",10,21,0.48
2014,Hopewell city,0.0417,46650,"1,089","231,497",195,209,0.93
2014,Isle of Wight County,0.0417,45200,"1,055","224,302",177,426,0.42
2014,James City County,0.0417,45200,"1,055","224,302",358,"1,260",0.28
2014,King and Queen County,0.0417,46650,"1,089","231,497",44,54,0.81
2014,King George County,0.0417,51150,"1,194","253,828",141,279,0.51
2014,King William County,0.0417,46650,"1,089","231,497",186,215,0.87
2014,Lancaster County,0.0417,39300,917,"195,023",49,137,0.36
2014,Lee County,0.0417,33500,782,"166,241",4,4,1.00
2014,Lexington city,0.0417,34650,809,"171,948",27,71,0.38
